feature_id	reason	total_reads	taxon
cohort_feature_000074	removed_domain_unclassified	198	Unassigned
cohort_feature_000075	removed_offtarget_pattern	18	d__Eukaryota;p__Cnidaria;c__Myxozoa;o__Bivalvulida;f__Bivalvulida;g__Bivalvulida;s__
cohort_feature_000079	removed_domain_unclassified	306	Unassigned
cohort_feature_000080	removed_offtarget_pattern	268	d__Eukaryota
cohort_feature_000083	removed_domain_unclassified	145	Unassigned
cohort_feature_000087	removed_domain_unclassified	32	Unassigned
cohort_feature_000089	removed_domain_unclassified	202	Unassigned
cohort_feature_000090	removed_domain_unclassified	60	Unassigned
cohort_feature_000091	removed_offtarget_pattern	77	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__
cohort_feature_000098	removed_domain_unclassified	24	Unassigned
cohort_feature_000101	removed_domain_unclassified	238	Unassigned
cohort_feature_000102	removed_domain_unclassified	131	Unassigned
cohort_feature_000104	removed_domain_unclassified	32	Unassigned
cohort_feature_000105	removed_domain_unclassified	27	Unassigned
cohort_feature_000106	removed_offtarget_pattern	25	d__Eukaryota;p__Cnidaria;c__Myxozoa;o__Bivalvulida;f__Bivalvulida;g__Bivalvulida;s__
cohort_feature_000107	removed_offtarget_pattern	107	d__Eukaryota;p__Cnidaria;c__Myxozoa;o__Bivalvulida;f__Bivalvulida;g__Bivalvulida;s__
cohort_feature_000110	removed_offtarget_pattern	329	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__
cohort_feature_000112	removed_offtarget_pattern	39	d__Eukaryota;p__Cnidaria;c__Myxozoa;o__Bivalvulida;f__Bivalvulida;g__Bivalvulida;s__
cohort_feature_000117	removed_domain_unclassified	313	Unassigned
cohort_feature_000120	removed_domain_unclassified	23	Unassigned
cohort_feature_000121	removed_offtarget_pattern	49	d__Eukaryota;p__Cnidaria;c__Myxozoa;o__Bivalvulida;f__Bivalvulida;g__Bivalvulida;s__
cohort_feature_000125	removed_domain_unclassified	30	Unassigned
cohort_feature_000128	removed_offtarget_pattern	486	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__
cohort_feature_000129	removed_domain_unclassified	199	Unassigned
cohort_feature_000130	removed_domain_unclassified	33	Unassigned
